17707,6763,"04IA",2310,84,"TURF-G",,0,"18",,,,,,"36",,,,,
15486,6764,"04ID",3000,25,"DIRT-F",,0,"07",,,,,,"25",,,,,
14811,6765,"04II",1372,72,"TURF",,0,"18",,,,,,"36",,,,,
25609,6766,"04IL",1700,70,"TURF",,0,"N",,,,,,"S",,,,,
19920,6767,"04IS",2200,150,"TURF",,0,"09",,,,,,"27",,,,,
17283,6769,"04KY",1700,30,"ASPH",,0,"15",,,,,,"33",,,,,
24248,6771,"04LL",3700,70,"TURF",,0,"09",,,,,,"27",,,,,
23389,6773,"04MA",2100,300,"TURF",,0,"16",,,,,,"34",,,,,
18360,6775,"04ME",1950,120,"TURF",,0,"15",,,,,,"33",,,,,
16557,6776,"04MI",2000,100,"TURF-G",,0,"18",,,,,,"36",,,,,
20607,6777,"04MN",2500,150,"TURF",,0,"10",,,,,,"28",,,,,
14810,6778,"04MO",2600,150,"TURF",,0,"18",,,,,,"36",,,,,
7248,6779,"04MS",3400,100,"COP",0,0,"17",32.9442,-90.8373,,180,,"35",32.9349,-90.8373,,360,
14684,6780,"04MT",2100,100,"TURF",,0,"E",,,,,,"W",,,,,
14685,6780,"04MT",1900,100,"TURF",,0,"N",,,,,,"S",,,,,
17508,6782,"04NE",2500,100,"TURF",,0,"N",,,,,,"S",,,,,
16558,6783,"04NJ",3500,50,"TURF",,0,"08",,,,,,"26",,,,,
8170,6784,"04NV",3240,45,"ASP",1,0,"02",35.7518,-115.668,,33.5,,"20",35.7592,-115.662,,213.5,
23696,6785,"04NY",5200,50,"TURF",,0,"02",,,,,,"20",,,,,
25007,6786,"04OH",2200,70,"TURF",,0,"N",,,,,,"S",,,,,
15784,6794,"04TN",3000,50,"ASPH",,0,"01",,,,,,"19",,,,,
22158,6796,"04TX",2000,50,"TURF",,0,"12",,,,,,"30",,,,,
19073,6797,"04UT",3700,50,"DIRT",,0,"04",,,,,,"22",,,,,
15566,6798,"04V",7745,55,"GRVL-G",,0,"10",38.1041,-106.186,,,,"28",38.0941,-106.163,,,
17334,6800,"04VG",3500,80,"TURF-F",,0,"01",,,,,,"19",,,,,
17335,6800,"04VG",1800,70,"TURF-F",,0,"11",,,,,,"29",,,,,
20241,6801,"04VT",1300,40,"TURF",,0,"06",,,,,,"24",,,,,
21196,6802,"04W",2751,75,"ASPH-G",,0,"06",46.0213,-92.9001,1021,66,,"24",46.0244,-92.8902,1009,246,
25048,6803,"04WA",1800,60,"TURF",,0,"N",,,,,,"S",,,,,
20033,6804,"04WI",1800,100,"TURF",,0,"09",,,,,,"27",,,,,
16765,6807,"05AK",2000,75,"TURF-GRVL",,0,"01",,,,,,"19",,,,,
19436,6810,"05B",4000,200,"WATER",,0,"NW",,,,,,"SE",,,,,
7798,6812,"05CL",3700,50,"ASP",1,0,"10",38.6131,-122.397,618,116,840,"28",38.6086,-122.386,618,296,340
25332,6813,"05CO",2650,60,"TURF",,0,"18",,,,,,"36",,,,,
19208,6815,"05FA",2500,75,"TURF",,0,"08",,,,,,"26",,,,,
25524,6817,"05FL",3200,60,"TURF",,0,"09",,,,,,"27",,,,,
25525,6817,"05FL",1600,50,"TURF",,0,"15",,,,,,"33",,,,,
23595,6818,"05GA",2200,60,"ASPH",,0,"18",,,,,,"36",,,,,
19941,6819,"05IA",2450,65,"TURF-P",,0,"09",,,,,,"27",,,,,
17040,6820,"05ID",2000,70,"TURF-GRVL",,0,"03",,,,,,"21",,,,,
19475,6821,"05II",1800,100,"TURF",,0,"09",,,,,,"27",,,,,
22635,6822,"05IL",3200,70,"TURF",,0,"10",,,,,,"28",,,,,
23015,6823,"05IN",2000,100,"TURF",,0,"08",,,,,,"26",,,,,
19892,6824,"05IS",2000,100,"TURF",,0,"09",,,,,,"27",,,,,
20621,6825,"05KS",2350,50,"TURF",,0,"17",,,,,,"35",,,,,
14519,6826,"05KY",1270,150,"TURF",,0,"02",,,,,,"20",,,,,
16014,6827,"05LA",2200,70,"TURF",,0,"18",,,,,,"36",,,,,
7183,6829,"05LS",2300,100,"GRE",0,0,"02",31.2471,-92.4783,,22.4,,"20",31.2529,-92.4755,,202.4,1000
24372,6832,"05MD",2700,80,"TURF",,0,"18",,,,,,"36",,,,,
23471,6833,"05ME",900,40,"TURF",,0,"E",,,,,,"W",,,,,
15630,6837,"05NE",3210,80,"TURF",,0,"15",,,,,,"33",,,,,
19539,6841,"05OI",2000,100,"TURF",,0,"09",,,,,,"27",,,,,
23051,6842,"05OK",2200,90,"TURF",,0,"17",,,,,,"35",,,,,
19649,6843,"05OR",2600,50,"TURF",,0,"11",,,,,,"29",,,,,
19091,6846,"05PS",2319,100,"TURF",,0,"06",40.1412,-77.8655,,,,"24",40.146,-77.86,,,
13958,6847,"05S",2940,45,"TURF-G",,0,"09",,,,,,"27",,,,,
19555,6848,"05TA",1700,40,"TURF-G",,0,"17",,,,,,"35",,,,,
16843,6849,"05TE",1500,50,"TURF",,0,"15",,,,,,"33",,,,,
16207,6851,"05TS",1700,90,"TURF",,0,"17",,,,,,"35",,,,,
24774,6852,"05TX",2075,50,"TURF",,0,"15",,,,,,"33",,,,,
9716,6853,"05UT",3950,50,"ASP",0,0,"14",37.038,-110.321,,149,,"32",37.0287,-110.314,,329,
22846,6854,"05V",6160,52,"DIRT-G",,0,"03",37.4048,-105.56,7696,41,,"21",37.4175,-105.546,7720,221,
20625,6855,"05VA",2000,40,"TURF",,0,"18",,,,,,"36",,,,,
17249,6858,"05WI",1800,60,"TURF",,0,"E",,,,,,"W",,,,,
17091,6859,"05XS",2600,100,"TURF",,0,"01",,,,,,"19",,,,,
20272,6860,"05Y",3280,200,"TURF-G",,0,"17",46.3084,-95.4423,1440,,,"35",46.2996,-95.4423,1455,,
24627,6862,"06AR",2900,125,"TURF",,0,"16",,,,,,"34",,,,,
24622,6864,"06B",15000,4000,"WATER-E",,0,"02",,,,,,"20",,,,,
16815,6867,"06CO",4500,75,"TURF",,0,"17",,,,,,"35",,,,,
13013,6868,"06FA",7003,150,"ASP",1,0,"09",26.9081,-80.3392,28,90,241,"27",26.9082,-80.3177,28,270,241
22493,6869,"06FD",3400,120,"TURF",,0,"18",,,,,,"36",,,,,
14976,6872,"06I",16000,3500,"WATER",,0,"E",,,,,,"W",,,,,
14226,6873,"06IA",1750,100,"TURF",,0,"09",,,,,,"27",,,,,
18572,6874,"06ID",2200,80,"GRVL-DIRT",,0,"09",,,,,,"27",,,,,
19250,6875,"06IL",2580,70,"TURF",,0,"09",,,,,,"27",,,,,
24469,6876,"06IN",1600,75,"TURF",,0,"N",,,,,,"S",,,,,
21089,6877,"06IS",2600,70,"TURF",,0,"18",,,,,,"36",,,,,
7821,6886,"06MN",1500,60,"GRE",0,0,"12",47.653,-92.4193,,120.6,,"30",47.6509,-92.414,,300.6,
10732,6887,"06MO",3000,30,"ASP",1,0,"15",39.2353,-94.8064,,156.6,,"33",39.2278,-94.8022,,336.6,
25585,6888,"06MT",2200,60,"TURF",,0,"E",,,,,,"W",,,,,
14854,6889,"06N",2811,60,"ASPH-G",,0,"08",41.4302,-74.3961,501,62,,"26",41.4337,-74.387,519,242,
25508,6890,"06NC",2600,90,"TURF",,0,"09",,,,,,"27",,,,,
20017,6891,"06ND",2800,50,"TURF",,0,"08",,,,,,"26",,,,,
23627,6893,"06NH",1900,150,"TURF",,0,"17",,,,,,"35",,,,,
22810,6895,"06NY",2000,75,"TURF",,0,"15",,,,,,"33",,,,,
21773,6897,"06OH",2400,100,"TURF",,0,"09",,,,,,"27",,,,,
20697,6898,"06OI",2256,45,"TURF-F",,0,"09",,,,,,"27",,,,,
20596,6900,"06OR",1000,80,"GRAVEL",,0,"N",,,,,,"S",,,,,
14232,6901,"06PA",2965,100,"TURF-G",,0,"08",,,,,,"26",,,,,
15616,6903,"06R",2480,30,"ASPH-G",,0,"15",,,,,,"33",,,,,
25235,6904,"06SN",2400,75,"TURF",,0,"17",,,,,,"35",,,,,
22316,6905,"06TA",1900,15,"GRAVEL",,0,"N",,,,,,"S",,,,,
12536,6906,"06TE",2500,50,"ASP",0,0,"08",30.3123,-95.0308,,83.9,,"26",30.3131,-95.0229,,263.9,
23913,6907,"06TN",2000,50,"TURF-F",,0,"05",,,,,,"23",,,,,
22816,6909,"06TX",1680,60,"TURF",,0,"01",,,,,,"19",,,,,
18485,6910,"06VA",2000,100,"TURF-G",,0,"05",,,,,,"23",,,,,
24661,15372,"06WN",2845,30,"ASPH-G",,0,"09",46.9263,-122.558,,,,"27",46.9236,-122.548,,,
22392,6913,"06XS",1750,100,"TURF",,0,"16",,,,,,"34",,,,,
20169,6914,"06Y",2997,60,"ASPH-G",,0,"14",45.8332,-96.1636,1055,,,"32",45.8262,-96.1574,1068,,
20251,6916,"07AR",3000,60,"TURF",,0,"11",,,,,,"29",,,,,
14229,6918,"07B",3186,100,"TURF-F",,0,"16",44.4518,-68.5728,360,,,"34",44.4442,-68.5666,360,,
24590,6920,"07CL",2220,50,"ASPH",,0,"16",,,,,,"34",,,,,
22134,6921,"07CO",3100,75,"TURF",,0,"02",,,,,,"20",,,,,
16636,6923,"07D",2244,65,"TURF-G",,0,"18",43.0676,-82.724,770,177,,"36",43.0614,-82.7236,770,357,
13266,6924,"07FA",4500,70,"ASP",1,0,"04",25.3207,-80.2792,,40,,"22",25.3301,-80.2704,,220,500
16234,6927,"07GA",1700,80,"TURF",,0,"09",,,,,,"27",,,,,
18860,6928,"07I",15000,4000,"WATER",,0,"SW",,,,,,"NE",,,,,
18558,6929,"07ID",3000,75,"TURF-DIRT",,0,"NW",,,,,,"SE",,,,,
14713,6931,"07IN",1860,80,"TURF",,0,"N",,,,,,"S",,,,,
17744,6932,"07K",3700,60,"CONC-E",,0,"15",41.1164,-98.0533,1715,,,"33",41.1067,-98.0494,1716,,
21787,6933,"07KS",2000,45,"TURF",,0,"18",,,,,,"36",,,,,
19175,6934,"07KY",2000,100,"TURF",,0,"11",,,,,,"29",,,,,
18625,6938,"07MD",1000,70,"TURF",,0,"17",,,,,,"35",,,,,
16891,6940,"07MI",2904,100,"TURF",,0,"09",,,,,,"27",,,,,
22919,6941,"07MN",2600,50,"TURF",,0,"E",,,,,,"W",,,,,
18922,6942,"07MO",2700,40,"TURF-GRVL-F",,0,"17",,,,,,"35",,,,,
11095,6943,"07MT",13500,300,"CON",1,0,"10",48.4303,-106.552,2762,120,,"28",48.4118,-106.504,2762,300,
22436,6944,"07N",2200,100,"TURF-F",,0,"16",,,,,,"34",,,,,
14150,6945,"07NC",2000,50,"TURF",,0,"08",,,,,,"26",,,,,
18746,6946,"07NH",2500,200,"WATER",,0,"05W",,,,,,"23W",,,,,
18747,6946,"07NH",2500,200,"WATER",,0,"17W",,,,,,"35W",,,,,
23057,6950,"07OK",2400,80,"TURF",,0,"17",,,,,,"35",,,,,
17586,6951,"07OR",1200,100,"TURF",,0,"17",,,,,,"35",,,,,
21115,6953,"07TA",2200,125,"TURF",,0,"06",,,,,,"24",,,,,
12408,6954,"07TE",5000,100,"ASP",0,1,"04",27.7169,-97.5144,,44,,"22",27.7269,-97.5036,,224,
12409,6954,"07TE",5000,100,"ASP",0,1,"09",27.7217,-97.5189,,90,,"27",27.7217,-97.5033,,270,
12410,6954,"07TE",5000,100,"ASP",1,0,"13",27.7258,-97.5175,39,134,,"31",27.7164,-97.5064,,314,
12411,6954,"07TE",5000,100,"ASP",0,1,"18",27.7297,-97.5064,,180,,"36",27.7161,-97.5064,,360,
13810,6955,"07TN",1800,75,"TURF",,0,"07",,,,,,"25",,,,,
25547,6956,"07TS",2500,75,"TURF",,0,"17",,,,,,"35",,,,,
13801,6958,"07VA",1600,50,"TURF",,0,"16",,,,,,"34",,,,,
13834,6959,"07VT",526,20,"TURF",,0,"05",,,,,,"23",,,,,
13835,6959,"07VT",595,20,"TURF",,0,"14",,,,,,"32",,,,,
16900,6961,"07WI",1500,50,"TURF",,0,"09",,,,,,"27",,,,,
17558,6963,"07Y",2850,150,"TURF-G",,0,"16",46.9595,-93.5993,,,,"34",46.9521,-93.5956,,,
23646,6966,"08B",1935,100,"TURF-G",,0,"14",44.0017,-69.89,56,,,"32",43.9983,-69.8843,57,,
23967,6968,"08CL",2000,50,"DIRT",,0,"E",,,,,,"W",,,,,
18902,6969,"08CO",2600,75,"TURF",,0,"09",,,,,,"27",,,,,
14858,6970,"08CT",4700,1400,"WATER",,0,"01",,,,,,"19",,,,,
15345,6971,"08F",2584,80,"TURF-F",,0,"17",,,,,,"35",,,,,
21236,6972,"08FA",3390,75,"TURF",,0,"09",,,,,,"27",,,,,
23550,6973,"08FD",4138,104,"TURF",,0,"18",,,,,,"36",,,,,
16641,6974,"08FL",2500,100,"TURF",,0,"03",,,,,,"21",,,,,
15375,6976,"08GA",5000,150,"TURF",,0,"03",,,,,,"21",,,,,
15390,6977,"08ID",2500,60,"GRAVEL",,0,"NW",,,,,,"SE",,,,,
24261,6979,"08IL",2200,75,"TURF",,0,"09",,,,,,"27",,,,,
20167,6980,"08IS",1320,70,"TURF",,0,"18",,,,,,"36",,,,,
17238,6981,"08KS",2700,99,"GRAVEL",,0,"17",,,,,,"35",,,,,
19360,6982,"08KY",2500,60,"TURF-G",,0,"09",,,,,,"27",,,,,
